internal_id|name|event_date|venue|location
617|UFC on ESPN: Vera vs. Cruz|Aug 13, 2022|Pechanga Arena|San Diego, California, U.S.
616|UFC on ESPN: Santos vs. Hill|Aug 6, 2022|UFC Apex|Las Vegas, Nevada, U.S.
615|UFC 277: Peña vs. Nunes 2|Jul 30, 2022|American Airlines Center|Dallas, Texas, U.S.
614|UFC Fight Night: Blaydes vs. Aspinall|Jul 23, 2022|The O2 Arena|London, England, U.K.
613|UFC on ABC: Ortega vs. Rodríguez|Jul 16, 2022|UBS Arena|Elmont, New York, U.S.
612|UFC on ESPN: dos Anjos vs. Fiziev|Jul 9, 2022|UFC Apex|Las Vegas, Nevada, U.S.
611|UFC 276: Adesanya vs. Cannonier|Jul 2, 2022|T-Mobile Arena
610|UFC on ESPN: Tsarukyan vs. Gamrot|Jun 25, 2022|UFC Apex
609|UFC on ESPN: Kattar vs. Emmett|Jun 18, 2022|Moody Center|Austin, Texas, U.S.
608|UFC 275: Teixeira vs. Procházka|Jun 12, 2022|Singapore Indoor Stadium|Kallang, Singapore
607|UFC Fight Night: Volkov vs. Rozenstruik|Jun 4, 2022|UFC Apex|Las Vegas, Nevada, U.S.
606|UFC Fight Night: Holm vs. Vieira|May 21, 2022
605|UFC on ESPN: Błachowicz vs. Rakić|May 14, 2022
604|UFC 274: Oliveira vs Gaethje|May 7, 2022|Footprint Center|Phoenix, Arizona, U.S.
603|UFC on ESPN: Font vs. Vera|Apr 30, 2022|UFC Apex|Las Vegas, Nevada, U.S.
602|UFC Fight Night: Lemos vs. Andrade|Apr 23, 2022
601|UFC on ESPN: Luque vs. Muhammad 2|Apr 16, 2022
600|UFC 273: Volkanovski vs. The Korean Zombie|Apr 9, 2022|VyStar Veterans Memorial Arena|Jacksonville, Florida, U.S.
599|UFC on ESPN: Blaydes vs. Daukaus|Mar 26, 2022|Nationwide Arena|Columbus, Ohio, U.S.
598|UFC Fight Night: Volkov vs. Aspinall|Mar 19, 2022|The O2 Arena|London, England, U.K.
597|UFC Fight Night: Santos vs. Ankalaev|Mar 12, 2022|UFC Apex|Las Vegas, Nevada, U.S.
596|UFC 272: Covington vs. Masvidal|Mar 5, 2022|T-Mobile Arena
595|UFC Fight Night: Makhachev vs. Green|Feb 26, 2022|UFC Apex
594|UFC Fight Night: Walker vs. Hill|Feb 19, 2022
593|UFC 271: Adesanya vs. Whittaker 2|Feb 12, 2022|Toyota Center|Houston, Texas, U.S
592|UFC Fight Night: Hermansson vs. Strickland|Feb 5, 2022|UFC Apex|Las Vegas, Nevada, U.S.
591|UFC 270: Ngannou vs. Gane|Jan 22, 2022|Honda Center|Anaheim, California, U.S.
590|UFC on ESPN: Kattar vs. Chikadze|Jan 15, 2022|UFC Apex|Las Vegas, Nevada, U.S.
589|UFC Fight Night: Lewis vs. Daukaus|Dec 18, 2021
588|UFC 269: Oliveira vs. Poirier|Dec 11, 2021|T-Mobile Arena
587|UFC on ESPN: Font vs. Aldo|Dec 4, 2021|UFC Apex
586|UFC Fight Night: Vieira vs. Tate|Nov 20, 2021
585|UFC Fight Night: Holloway vs. Rodríguez|Nov 13, 2021
584|UFC 268: Usman vs. Covington 2|Nov 6, 2021|Madison Square Garden|New York City, New York, U.S.
583|UFC 267: Błachowicz vs. Teixeira|Oct 30, 2021|Etihad Arena|Abu Dhabi, United Arab Emirates
582|UFC Fight Night: Costa vs. Vettori|Oct 23, 2021|UFC Apex|Las Vegas, Nevada, U.S.
581|UFC Fight Night: Ladd vs. Dumont|Oct 16, 2021
580|UFC Fight Night: Dern vs. Rodriguez|Oct 9, 2021
579|UFC Fight Night: Santos vs. Walker|Oct 2, 2021
578|UFC 266: Volkanovski vs. Ortega|Sep 25, 2021|T-Mobile Arena
577|UFC Fight Night: Smith vs. Spann|Sep 18, 2021|UFC Apex
576|UFC Fight Night: Brunson vs. Till|Sep 4, 2021
575|UFC on ESPN: Barboza vs. Chikadze|Aug 28, 2021
574|UFC on ESPN: Cannonier vs. Gastelum|Aug 21, 2021
573|UFC 265: Lewis vs. Gane|Aug 7, 2021|Toyota Center|Houston, Texas, U.S.
572|UFC on ESPN: Hall vs. Strickland|Jul 31, 2021|UFC Apex|Las Vegas, Nevada, U.S.
571|UFC on ESPN: Sandhagen vs. Dillashaw|Jul 24, 2021
570|UFC on ESPN: Makhachev vs. Moisés|Jul 17, 2021
569|UFC 264: Poirier vs. McGregor 3|Jul 10, 2021|T-Mobile Arena
568|UFC Fight Night: Gane vs. Volkov|Jun 26, 2021|UFC Apex
567|UFC on ESPN: The Korean Zombie vs. Ige|Jun 19, 2021
566|UFC 263: Adesanya vs. Vettori 2|Jun 12, 2021|Gila River Arena|Glendale, Arizona, U.S.
565|UFC Fight Night: Rozenstruik vs. Sakai|Jun 5, 2021|UFC Apex|Las Vegas, Nevada, U.S.
564|UFC Fight Night: Font vs. Garbrandt|May 22, 2021
563|UFC 262: Oliveira vs. Chandler|May 15, 2021|Toyota Center|Houston, Texas, U.S.
562|UFC on ESPN: Rodriguez vs. Waterson|May 8, 2021|UFC Apex|Las Vegas, Nevada, U.S.
561|UFC on ESPN: Reyes vs. Procházka|May 1, 2021
560|UFC 261: Usman vs. Masvidal 2|Apr 24, 2021|VyStar Veterans Memorial Arena|Jacksonville, Florida, U.S.
559|UFC on ESPN: Whittaker vs. Gastelum|Apr 17, 2021|UFC Apex|Las Vegas, Nevada, U.S.
558|UFC on ABC: Vettori vs. Holland|Apr 10, 2021
557|UFC 260: Miocic vs. Ngannou 2|Mar 27, 2021
556|UFC on ESPN: Brunson vs. Holland|Mar 20, 2021
555|UFC Fight Night: Edwards vs. Muhammad|Mar 13, 2021
554|UFC 259: Błachowicz vs. Adesanya|Mar 6, 2021
553|UFC Fight Night: Rozenstruik vs. Gane|Feb 27, 2021
552|UFC Fight Night: Blaydes vs. Lewis|Feb 20, 2021
551|UFC 258: Usman vs. Burns|Feb 13, 2021
550|UFC Fight Night: Overeem vs. Volkov|Feb 6, 2021
549|UFC 257: Poirier vs. McGregor 2|Jan 24, 2021|Etihad Arena|Abu Dhabi, United Arab Emirates
548|UFC on ESPN: Chiesa vs. Magny|Jan 20, 2021|2,000
547|UFC on ABC: Holloway vs. Kattar|Jan 16, 2021
546|UFC Fight Night: Thompson vs. Neal|Dec 19, 2020|UFC Apex|Las Vegas, Nevada, U.S.
545|UFC 256: Figueiredo vs. Moreno|Dec 12, 2020
544|UFC on ESPN: Hermansson vs. Vettori|Dec 5, 2020
543|UFC on ESPN: Smith vs. Clark|Nov 28, 2020
542|UFC 255: Figueiredo vs. Perez|Nov 21, 2020
541|UFC Fight Night: Felder vs. dos Anjos|Nov 14, 2020
540|UFC on ESPN: Santos vs. Teixeira|Nov 7, 2020
539|UFC Fight Night: Hall vs. Silva|Oct 31, 2020
538|UFC 254: Khabib vs. Gaethje|Oct 24, 2020|du Forum|Abu Dhabi, United Arab Emirates
537|UFC Fight Night: Ortega vs. The Korean Zombie|Oct 18, 2020
536|UFC Fight Night: Moraes vs. Sandhagen|Oct 11, 2020
535|UFC on ESPN: Holm vs. Aldana|Oct 4, 2020
534|UFC 253: Adesanya vs. Costa|Sep 27, 2020
533|UFC Fight Night: Covington vs. Woodley|Sep 19, 2020|UFC Apex|Las Vegas, Nevada, U.S.
532|UFC Fight Night: Waterson vs. Hill|Sep 12, 2020
531|UFC Fight Night: Overeem vs. Sakai|Sep 5, 2020
530|UFC Fight Night: Smith vs. Rakić|Aug 29, 2020
529|UFC on ESPN: Munhoz vs. Edgar|Aug 22, 2020
528|UFC 252: Miocic vs. Cormier 3|Aug 15, 2020
527|UFC Fight Night: Lewis vs. Oleinik|Aug 8, 2020
526|UFC Fight Night: Brunson vs. Shahbazyan|Aug 1, 2020
525|UFC on ESPN: Whittaker vs. Till|Jul 26, 2020|du Forum|Abu Dhabi, United Arab Emirates
524|UFC Fight Night: Figueiredo vs. Benavidez 2|Jul 19, 2020
523|UFC on ESPN: Kattar vs. Ige|Jul 16, 2020
522|UFC 251: Usman vs. Masvidal|Jul 12, 2020
521|UFC on ESPN: Poirier vs. Hooker|Jun 27, 2020|UFC Apex|Las Vegas, Nevada, U.S.
520|UFC on ESPN: Blaydes vs. Volkov|Jun 20, 2020
519|UFC on ESPN: Eye vs. Calvillo|Jun 13, 2020
518|UFC 250: Nunes vs. Spencer|Jun 6, 2020
517|UFC on ESPN: Woodley vs. Burns|May 30, 2020
516|UFC on ESPN: Overeem vs. Harris|May 16, 2020|VyStar Veterans Memorial Arena|Jacksonville, Florida, U.S.
515|UFC Fight Night: Smith vs. Teixeira|May 13, 2020
514|UFC 249: Ferguson vs. Gaethje|May 9, 2020